# time [BJD], relative flux, relative flux error
2.458443013892926276e+06,1.034265545408540321e+00,6.921199094261811305e-03
2.458443034726169892e+06,1.028705641104223023e+00,6.914354393390254559e-03
2.458443055559412576e+06,1.016619417877837162e+00,6.917726153775296226e-03
2.458443076392654330e+06,1.019784051550284953e+00,6.917290923900736715e-03
2.458443097225896083e+06,1.047042770149688495e+00,6.920959353202547036e-03
2.458443118059136905e+06,1.024873750309532872e+00,6.912859994137390829e-03
2.458443138892377261e+06,1.023583441821067197e+00,6.913323864496779582e-03
2.458443159725617152e+06,1.039154649217009840e+00,6.921528984563224927e-03
2.458443180558856111e+06,1.026790952024666081e+00,6.914418474597296659e-03
2.458443201392094139e+06,1.026419350477724590e+00,6.915062173191778225e-03
2.458443222225332167e+06,1.031181469385057170e+00,6.918399361260704067e-03
2.458443243058569729e+06,1.020356655696551984e+00,6.908953935547829973e-03
2.458443263891805895e+06,1.018515413750146648e+00,6.906151823996127537e-03
2.458443284725042060e+06,1.043657251388316443e+00,6.922768838851053874e-03
2.458443305558277294e+06,1.023761832311274711e+00,6.908207543322011923e-03
2.458443326391512062e+06,1.024518065141476697e+00,6.910718202929693604e-03
2.458443347224746365e+06,1.028258636529512104e+00,6.919289888954445120e-03
2.458443368057979736e+06,1.035700062386447406e+00,6.920349115682607709e-03
2.458443388891212642e+06,1.018045094111288185e+00,6.910382608279723969e-03
2.458443409724445082e+06,1.020901040919093727e+00,6.903880609268202989e-03
2.458443430557676591e+06,1.008475506818198530e+00,6.902572791956325220e-03
2.458443451390907634e+06,1.038698175173626614e+00,6.921519134215097478e-03
2.458443472224138211e+06,1.030775180551714021e+00,6.918516955111933542e-03
2.458443493057368323e+06,1.027396615383046496e+00,6.923921308755480800e-03
2.458443513890597038e+06,1.016319291202928410e+00,6.912819789912657588e-03
2.458443534723825753e+06,1.027444619945868665e+00,6.917619651528843748e-03
2.458443555557054002e+06,1.018092806183117371e+00,6.912071086481290545e-03
2.458443576390281320e+06,1.030384327337571015e+00,6.918751465527566043e-03
2.458443597223508172e+06,1.029214694841279476e+00,6.921543665446980992e-03
2.458443618056734558e+06,1.023744964955263015e+00,6.914074526889280557e-03
2.458443638889960013e+06,1.015306078733657413e+00,6.910944221498555202e-03
2.458443659723185003e+06,1.029672121101621318e+00,6.920764851067262059e-03
2.458443680556409061e+06,1.018463738033429822e+00,6.911530682298871846e-03
2.458443701389632653e+06,1.031906070800971742e+00,6.917431827210134519e-03
2.458443722222856246e+06,1.020685244643226630e+00,6.914658676558456570e-03
2.458443743056078441e+06,1.021164069939887620e+00,6.916866045693610167e-03
2.458443763889300171e+06,1.023070817277117905e+00,6.914294356540249230e-03
2.458443784722521901e+06,1.020543384057265968e+00,6.911280444357889574e-03
2.458443805555742700e+06,1.026201317030685400e+00,6.912826138190423034e-03
2.458443826388962567e+06,1.032153546331545213e+00,6.915748839706434802e-03
2.458443847222181968e+06,1.022796352837651135e+00,6.906995193832842980e-03
2.458443868055400904e+06,1.021471301830652045e+00,6.901029312338362136e-03
2.458443888888618909e+06,1.030501477547112188e+00,6.912544372082170263e-03
2.458443909721836913e+06,1.029251578125329081e+00,6.915340384703602163e-03
2.458443930555053987e+06,1.021639611116158752e+00,6.911228764565652272e-03
2.458443951388270129e+06,1.012492938738878134e+00,6.904876803522602517e-03
2.458443972221485805e+06,1.019085178569785866e+00,6.902592360493991358e-03
2.458443993054701481e+06,1.029943696677860343e+00,6.904988221459670839e-03
2.458444013887915760e+06,1.022044123766366885e+00,6.913141055441870096e-03
2.458444076387555804e+06,1.018365263053803593e+00,6.902730628796320718e-03
2.458444097220768221e+06,1.020549063657514077e+00,6.901369788897829954e-03
2.458444118053979706e+06,1.017643486197065572e+00,6.905521760214847204e-03
2.458444138887190726e+06,1.021947318961299755e+00,6.903884453015146118e-03
2.458444159720400814e+06,1.028214043265169853e+00,6.904023966146601542e-03
2.458444180553610902e+06,1.024847071070499327e+00,6.899364006662167190e-03
2.458444201386820059e+06,1.007865537760576746e+00,6.901298325034219312e-03
