# time [BJD], relative flux, relative flux error
2.458422993005847093e+06,8.998226577397807624e-01,3.371396878239706768e-02
2.458423013839342166e+06,9.755417627145215320e-01,3.437100619536815477e-02
2.458423034672837704e+06,9.205405284170309343e-01,3.503758685471835416e-02
2.458423055506333243e+06,9.686712921583816582e-01,3.574491699340785061e-02
2.458423076339829247e+06,9.321887611776383809e-01,3.643122016445124456e-02
2.458423097173326183e+06,9.631557182408134743e-01,3.709652652927133976e-02
2.458423118006823584e+06,9.307553110957856868e-01,3.767734896649570925e-02
2.458423138840321917e+06,8.307454215530454267e-01,3.814382672995320078e-02
2.458423159673820715e+06,9.868824897633315940e-01,3.859625283540031593e-02
2.458423180507320445e+06,9.007537468892328203e-01,3.898300849989122518e-02
2.458423201340820640e+06,8.865903672387196455e-01,3.936453318376285232e-02
2.458423222174322233e+06,8.779176967341626447e-01,3.972477984788150285e-02
2.458423243007824756e+06,8.642630292040663909e-01,4.004263194738183484e-02
2.458423263841328677e+06,8.747195759182057051e-01,4.031572814648683167e-02
2.458423284674833529e+06,8.444369305952782456e-01,4.053489725797238680e-02
2.458423305508339312e+06,8.336957319506272945e-01,4.070984510776499976e-02
2.458423326341846492e+06,8.568301478076738587e-01,4.079316406604616141e-02
2.458423347175355069e+06,8.104596546737155016e-01,4.075925433950747939e-02
2.458423368008865509e+06,8.916886911036524532e-01,4.058371821195051049e-02
2.458423388842376880e+06,8.915816732917752896e-01,4.031579726939146791e-02
2.458423409675890114e+06,8.689816650550732380e-01,3.999820133061391531e-02
2.458423430509405211e+06,8.779347353657223074e-01,3.969728624079878199e-02
2.458423451342921238e+06,8.951280448709272308e-01,3.936512507890086582e-02
2.458423472176439594e+06,8.723040726643459530e-01,3.883952727796227689e-02
2.458423493009959813e+06,8.364799313430751893e-01,3.806562496999187778e-02
2.458424576355451252e+06,9.179144919370291200e-01,1.331656378911032917e-02
2.458424597189040855e+06,9.472634845403533621e-01,1.332719084319397042e-02
2.458424618022630457e+06,9.644953632885656658e-01,1.334626955382405868e-02
2.458424638856220059e+06,9.766578004765007481e-01,1.335419106312783592e-02
2.458424659689809196e+06,9.514917644264976326e-01,1.334241562044548302e-02
2.458424680523398332e+06,9.589534115947853099e-01,1.335592755475173768e-02
2.458424701356987003e+06,9.396112607930751093e-01,1.332588364500801072e-02
2.458424722190575674e+06,9.697303822084833991e-01,1.334878819199598367e-02
2.458424743024163879e+06,9.802376598507777095e-01,1.335158555165019516e-02
2.458424763857751619e+06,9.496291291095111387e-01,1.334102711458904668e-02
