,index,Unnamed: 0,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s,Sector
261,130,138,51543,SN 2020bj,16:58:25.350,+68:13:56.71,SN Ia,0.05,WISEA J165825.34+681357.4,,"ALeRCE, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aabqiti,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,17.799,r-ZTF,2020-01-02 12:17:00.000,ALeRCE,,,20
324,193,15,57940,SN 2020hfk,13:53:28.171,+07:54:34.26,SN Ia,0.0374,,,"ATLAS, Pan-STARRS1, ZTF","ATLAS, Pan-STARRS1, ZTF",ZTF,ATLAS; Pan-STARRS1; ZTF,ATLAS20kca,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,17.79,orange-ATLAS,2020-04-14 11:11:02.400,ATLAS_Bot1,,,23
326,195,24,57899,SN 2020hdw,16:00:51.990,+56:21:09.00,SN Ia,0.06,,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aaoxrup,"Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,17.46,r-ZTF,2020-04-14 10:39:20.736,ZTF_AMPEL_COMPLETE,,,23
342,211,77,56508,SN 2020fcw,14:28:32.007,+27:24:29.88,SN Ia,0.014397,,,"ZTF, Pan-STARRS1, ATLAS","ZTF, Pan-STARRS1, ATLAS","Padova-Asiago, ZTF",ATLAS; Pan-STARRS1; ZTF,ZTF20aattotq,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Ekar - AFOSC, P60 - SEDM",1,1,,16.29,r-ZTF,2020-03-28 10:29:16.800,ZTF_Bot1,,,23
344,213,87,56300,SN 2020eyj,11:11:47.180,+29:23:06.36,SN Ia,0.03,,,"ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ATLAS20hxk,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,17.199,cyan-ATLAS,2020-03-23 10:50:52.800,ATLAS_Bot1,,,23
348,217,92,56282,SN 2020exr,13:18:45.040,+50:37:26.72,SN Ia,0.09,,,"ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ATLAS, ZTF, Pan-STARRS1, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ATLAS20ivn,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,17.904,cyan-ATLAS,2020-03-24 11:41:16.800,ATLAS_Bot1,,,23
380,249,113,58415,SN 2020hvq,16:46:34.860,+62:49:36.80,SN Ia,0.019043,,,"ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","None, ZTF",ATLAS; GaiaAlerts; Pan-STARRS1; ZTF,ATLAS20kts,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","Other - Other, P60 - SEDM",1,1,,17.348,cyan-ATLAS,2020-04-21 13:24:57.600,ATLAS_Bot1,,,24
447,14,39,66600,SN 2020tld,00:29:41.590,-51:32:09.60,SN Ia,0.011201,ESO 194- G 021,0.011201,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",Global SN Project,ASAS-SN; GaiaAlerts,ASASSN-20ls,"ASASSN-5 - Payne-Gaposchkin, Gaia - Gaia-photometric",FTS - FLOYDS-S,1,1,,17.0,g-Sloan,2020-09-15 23:45:36.000,Stanek,,,29
451,18,54,66512,SN 2020tht,01:10:54.440,-18:57:50.16,SN Ia,0.053,,,"Pan-STARRS1, YSE",Pan-STARRS1,UCSC,Pan-STARRS1,PS20hlf,PS1 - GPC1,Keck1 - LRIS,1,1,,17.52,w-PS1,2020-09-14 11:28:19.200,PS2_Bot1,,,29
490,57,214,67109,SN 2020uek,00:53:54.913,-31:05:36.80,SN Ia,0.031942,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS20bbsx,ATLAS1 - ACAM1,UH88 - SNIFS,1,1,,17.747,orange-ATLAS,2020-09-23 10:39:21.600,ATLAS_Bot1,,,30
