# time [BJD], relative flux, relative flux error
2.458359639898463618e+06,8.801858119884942155e-01,6.756563387481017043e-03
2.458359660731727257e+06,8.791978660226291709e-01,6.620121301623767274e-03
2.458359681564990431e+06,8.706242114203078808e-01,6.622351775657798686e-03
2.458359702398253139e+06,8.808390931320287942e-01,6.624963624262092746e-03
2.458359723231515381e+06,8.680457480316955410e-01,6.618836154900378452e-03
2.458359744064777158e+06,8.738207163819160517e-01,6.630529341223256705e-03
2.458359764898038469e+06,8.743152057727145987e-01,6.626078272042056939e-03
2.458359785731299315e+06,8.757346171430522297e-01,6.627782925443736865e-03
2.458359806564559694e+06,8.793908233130522945e-01,6.632136109343908341e-03
2.458359827397820074e+06,8.741382792744232244e-01,6.628740104906488163e-03
2.458359848231079523e+06,8.938785114271862176e-01,6.644292418657186602e-03
2.458359869064338505e+06,8.712044543414004805e-01,6.635828674393766391e-03
2.458359889897597488e+06,8.898372422376302771e-01,6.643778817751490144e-03
2.458359910730855539e+06,8.607788906394742146e-01,6.636187416337581586e-03
2.458359931564113591e+06,8.778162736065476812e-01,6.643288170174511433e-03
2.458359952397371177e+06,8.672740769122020410e-01,6.637483131402956670e-03
2.458359973230628297e+06,8.881265742338738667e-01,6.656376610102361299e-03
2.458359994063884486e+06,8.871547852484132912e-01,6.645027206323733671e-03
2.458360014897140674e+06,8.763223526799138741e-01,6.640813246169414465e-03
2.458360035730396397e+06,8.829795732558552990e-01,6.648975739197716603e-03
2.458360056563651655e+06,8.773897724368712181e-01,6.646457332250828992e-03
2.458360077396906447e+06,8.807067131288717210e-01,6.651455447038192616e-03
2.458360098230160773e+06,8.827837908317175408e-01,6.653328595939263235e-03
2.458360119063414633e+06,8.680476122406910466e-01,6.655104836305171176e-03
2.458360139896668028e+06,8.806773661656566166e-01,6.655667504219127048e-03
2.458360160729920957e+06,8.642714918209937203e-01,6.655046767344715945e-03
2.458360181563173421e+06,8.846243589217350767e-01,6.660625585567179693e-03
2.458360202396425419e+06,8.767149775866159844e-01,6.661656580224683578e-03
2.458360223229677416e+06,8.741415446427055480e-01,6.658065674016679612e-03
2.458360244062928483e+06,8.767163637423321942e-01,6.663657817692436244e-03
2.458360264896179549e+06,8.732569641124279247e-01,6.664666360715843126e-03
2.458360285729429685e+06,8.788656177681091197e-01,6.662680140243968166e-03
2.458360306562679820e+06,8.898535281353588955e-01,6.670794305871562309e-03
2.458360327395929489e+06,8.869497968195453330e-01,6.669890996486898573e-03
2.458360348229178227e+06,8.873175400176172012e-01,6.666357547557845778e-03
2.458360369062426966e+06,8.898871347701879930e-01,6.667554361410298405e-03
2.458360389895675238e+06,8.725415783295544792e-01,6.667568418187151159e-03
2.458360410728923045e+06,8.852263603444059381e-01,6.674631099337012888e-03
2.458360431562169921e+06,8.863100702707659151e-01,6.674329821708450093e-03
2.458360452395416796e+06,8.775507708664751494e-01,6.671374683204921337e-03
2.458360473228663206e+06,8.866355638112373150e-01,6.679443655502377390e-03
2.458360494061909150e+06,8.852979535514131637e-01,6.672950471790420508e-03
2.458360514895154629e+06,8.884681577588374735e-01,6.677648603751580418e-03
2.458360535728400107e+06,8.846790055185503876e-01,6.670115667059986139e-03
2.458360556561644655e+06,8.962249816502481092e-01,6.677236938323536514e-03
2.458360577394888736e+06,8.570882060671397573e-01,6.663051544630412514e-03
2.458360598228132352e+06,8.630573645337360489e-01,6.663121632301831701e-03
2.458360619061375968e+06,8.685904962264779927e-01,6.670605210514205484e-03
2.458360639894619118e+06,8.865858980530894051e-01,6.680532582362387790e-03
2.458360660727861337e+06,8.727351492847343906e-01,6.666737894406382127e-03
2.458360681561103556e+06,8.897727258476634260e-01,6.679392383409135311e-03
2.458360702394344844e+06,8.795620501785733625e-01,6.676043833501133992e-03
2.458360723227586132e+06,8.941028093743499383e-01,6.681021064599622188e-03
2.458360744060826954e+06,8.843505093654436822e-01,6.666825935418631797e-03
